UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long
LARCENY-FROM VEHICLE,203291847,11/25/2020,1810 CHESHIRE BRIDGE RD NE,212,Morningside/Lenox Park,F,33.809106,-84.363549
LARCENY-FROM VEHICLE,203291870,11/25/2020,915 W PEACHTREE ST NW,503,Midtown,E,33.779742,-84.386812
LARCENY-FROM VEHICLE,203291913,11/25/2020,77 WEST PACES FERRY RD NW,206,South Tuxedo Park,B,33.840896,-84.381392
BURGLARY,203291939,11/25/2020,193 MOURY AVE SE,305,The Villages at Carver,Y,33.715257,-84.391697
LARCENY-FROM VEHICLE,203300071,11/25/2020,1075 PEACHTREE ST NE,503,Midtown,E,33.783861,-84.383009
LARCENY-FROM VEHICLE,203300072,11/25/2020,3165 E SHADOWLAWN AVE NE,206,Buckhead Village,B,33.841367,-84.373835
AUTO THEFT,203300077,11/25/2020,3004 PIEDMONT RD NE,206,Garden Hills,B,33.836599,-84.368642
AGG ASSAULT,203300101,11/25/2020,2850 ARGYLE DR NW,113,Lincoln Homes,G,33.799125,-84.481316
LARCENY-FROM VEHICLE,203300144,11/25/2020,2263 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.816942,-84.351771
LARCENY-FROM VEHICLE,203300181,11/25/2020,2020 BOLTON RD NW,103,Riverside,D,33.811479,-84.475772
LARCENY-NON VEHICLE,203300233,11/25/2020,1647 NEKOMA ST NW,107,Grove Park,J,33.76703,-84.441561
AUTO THEFT,203300264,11/25/2020,1146 IRA ST SW,302,Pittsburgh,V,33.72373,-84.399773
LARCENY-NON VEHICLE,203300314,11/25/2020,2846 3RD AVE SW,311,Hammond Park,X,33.677159,-84.402718
LARCENY-NON VEHICLE,203300341,11/25/2020,1660 JONESBORO RD SE,307,Lakewood Heights,Y,33.706654,-84.379264
LARCENY-FROM VEHICLE,203300345,11/25/2020,820 WEST MARIETTA ST NW,506,English Avenue,L,33.780566,-84.416528
LARCENY-FROM VEHICLE,203300347,11/25/2020,1352 METROPOLITAN AVE SE,612,East Atlanta,W,33.742827,-84.343401
LARCENY-FROM VEHICLE,203300352,11/25/2020,1016 HOWELL DR SE,606,Reynoldstown,N,33.746878,-84.350525
BURGLARY,203300362,11/25/2020,146 POWELL ST SE,606,Cabbagetown,N,33.750667,-84.365972
AUTO THEFT,203300363,11/25/2020,1212 JAMES JACKSON PKWY NW,113,Monroe Heights,G,33.789697,-84.477225
LARCENY-NON VEHICLE,203300390,11/25/2020,900 JOSEPH E. LOWERY BLVD NW,106,Knight Park/Howell Station,K,33.779657,-84.417402
LARCENY-NON VEHICLE,203300393,11/25/2020,2060 FLEET ST SW,306,Sylvan Hills,X,33.698204,-84.411596
LARCENY-FROM VEHICLE,203300439,11/25/2020,1309 BENTEEN PARK DR SE,607,Benteen Park,W,33.71658,-84.361906
LARCENY-NON VEHICLE,203300467,11/25/2020,1938 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70158,-84.407758
LARCENY-NON VEHICLE,203300498,11/25/2020,2525 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.824018,-84.365306
AGG ASSAULT,203300505,11/25/2020,3601 M.L.K. JR DR SW,111,Adamsville,H,33.760176,-84.505639
AUTO THEFT,203300510,11/25/2020,2871 ALTAVIEW DR SE,312,Rosedale Heights,Z,33.676432,-84.382809
AUTO THEFT,203300539,11/25/2020,437 WHITEHALL ST SW,507,Castleberry Hill,M,33.744891,-84.401997
BURGLARY,203300554,11/25/2020,267 WADLEY ST NW,108,Dixie Hills,J,33.759139,-84.458101
AUTO THEFT,203300603,11/25/2020,3340 VILLA CIR SE,313,Blair Villa/Poole Creek,Z,33.659312,-84.376978
LARCENY-FROM VEHICLE,203300630,11/25/2020,349 DECATUR ST SE,604,Sweet Auburn,M,33.749898,-84.377702
LARCENY-FROM VEHICLE,203300667,11/25/2020,1940 FISHER RD SE,607,Custer/McDonough/Guice,W,33.71371,-84.359358
LARCENY-NON VEHICLE,203300676,11/25/2020,170 17TH ST NW,501,Atlantic Station,E,33.791373,-84.392294
LARCENY-NON VEHICLE,203300712,11/25/2020,116 PONCE DE LEON AVE NE,505,Midtown,E,33.772981,-84.383527
AUTO THEFT,203300743,11/25/2020,875 M.L.K. JR DR NW,102,Vine City,L,33.754966,-84.415835
LARCENY-NON VEHICLE,203300744,11/25/2020,2525 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.824018,-84.365306
LARCENY-FROM VEHICLE,203300777,11/25/2020,1155 CUSTER AVE SE,607,Custer/McDonough/Guice,W,33.714876,-84.350878
LARCENY-NON VEHICLE,203300784,11/25/2020,875 M.L.K. JR DR SW,102,Vine City,L,33.75497,-84.415852
LARCENY-FROM VEHICLE,203300814,11/25/2020,144 MORELAND AVE NE,606,Reynoldstown,N,33.757259,-84.349768
LARCENY-NON VEHICLE,203300825,11/25/2020,275 PRYOR ST SW,512,Downtown,M,33.747594,-84.394571
LARCENY-FROM VEHICLE,203300829,11/25/2020,1147 FRANCIS AVE SE,607,Boulevard Heights,W,33.723202,-84.364185
LARCENY-NON VEHICLE,203300862,11/25/2020,1309 FAIR ST SW,104,Mozley Park,K,33.749707,-84.430252
LARCENY-FROM VEHICLE,203300871,11/25/2020,999 PALMETTO AVE SW,104,Ashview Heights,T,33.752007,-84.420447
LARCENY-FROM VEHICLE,203300877,11/25/2020,520 DANIEL ST SE,604,Old Fourth Ward,M,33.751821,-84.370624
LARCENY-FROM VEHICLE,203300926,11/25/2020,1008 NORTH AVENUE NE,602,Poncey-Highland,N,33.771266,-84.354492
LARCENY-FROM VEHICLE,203300936,11/25/2020,1678 HOWELL MILL RD NW,204,Underwood Hills,D,33.799913,-84.416254
LARCENY-NON VEHICLE,203300960,11/25/2020,1659 MONROE DR NE,613,Piedmont Heights,F,33.799921,-84.370848
AUTO THEFT,203300971,11/25/2020,2145 BOLTON RD NW,103,Riverside,D,33.81402,-84.46745
AUTO THEFT,203300976,11/25/2020,100 BAGLEY ST NE,206,Garden Hills,B,33.835232,-84.372436
AUTO THEFT,203300994,11/25/2020,2399 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.819556,-84.363878
LARCENY-FROM VEHICLE,203300996,11/25/2020,820 WEST MARIETTA ST NW,506,English Avenue,L,33.780566,-84.416528
AUTO THEFT,203301002,11/25/2020,1475 MECASLIN ST NW,207,Loring Heights,E,33.79552,-84.398892
LARCENY-FROM VEHICLE,203301020,11/25/2020,137 E LAKE DR SE,611,East Lake,O,33.748832,-84.301725
AUTO THEFT,203301069,11/25/2020,1105 NORTHSIDE DR NW,501,Home Park,E,33.784936,-84.406864
LARCENY-FROM VEHICLE,203301124,11/25/2020,2221 PEACHTREE RD,211,,E,33.814683,-84.391103
LARCENY-FROM VEHICLE,203301149,11/25/2020,1750 COMMERCE DR NW,204,Berkeley Park,D,33.801368,-84.411135
LARCENY-FROM VEHICLE,203301208,11/25/2020,3315 JONESBORO RD SE,312,Orchard Knob,Z,33.664035,-84.374042
LARCENY-FROM VEHICLE,203301213,11/25/2020,1962 HOWELL MILL RD,205,Wildwood (NPU-C),C,33.808311,-84.413061
LARCENY-FROM VEHICLE,203301219,11/25/2020,979 ST CHARLES AVE NE,601,Virginia Highland,F,33.77516,-84.355458
LARCENY-FROM VEHICLE,203301229,11/25/2020,826 MCDONOUGH BLVD SE,607,Custer/McDonough/Guice,W,33.70935,-84.359426
LARCENY-NON VEHICLE,203301231,11/25/2020,556 NORTHSIDE DR SW,303,Pittsburgh,V,33.739712,-84.40791
LARCENY-FROM VEHICLE,203301265,11/25/2020,265 PONCE DE LEON AVE NE,505,Midtown,E,33.771684,-84.378393
LARCENY-FROM VEHICLE,203301276,11/25/2020,3221 PEACHTREE RD NE,206,Buckhead Village,B,33.841642,-84.372933
AUTO THEFT,203301330,11/25/2020,2280 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.817555,-84.352439
LARCENY-FROM VEHICLE,203301350,11/25/2020,1935 PEACHTREE RD,207,Brookwood Hills,E,33.807624,-84.393465
LARCENY-FROM VEHICLE,203301353,11/25/2020,1638 CLIFTON TERRACE NE,608,Druid Hills,N,33.771779,-84.333671
LARCENY-FROM VEHICLE,203301453,11/25/2020,123 MARIETTA ST NW,508,Downtown,M,33.757297,-84.392563
AGG ASSAULT,203301503,11/25/2020,2850 ALEXANDRIA DR SW,414,Deerwood,P,33.676749,-84.51417
BURGLARY,203291201,11/25/2020,131 PINE ST NW,504,Downtown,M,33.768002,-84.391243
AGG ASSAULT,203291782,11/25/2020,400 W PEACHTREE ST NW,504,Downtown,M,33.765366,-84.38829
LARCENY-FROM VEHICLE,203291828,11/24/2020,3534 M.L.K. JR DR SW,407,Adamsville,H,33.757725,-84.503436
LARCENY-NON VEHICLE,203291845,11/24/2020,1026 DECKNER AVE SW,306,Sylvan Hills,X,33.71372,-84.421719
LARCENY-FROM VEHICLE,203281635,11/24/2020,40 7TH ST NE,505,Midtown,E,33.778738,-84.385837
LARCENY-FROM VEHICLE,203281311,11/24/2020,71 13TH ST NE,503,Midtown,E,33.785332,-84.385233
LARCENY-FROM VEHICLE,203281363,11/24/2020,1185 COLLIER RD NW,204,,C,33.812177,-84.423591
LARCENY-FROM VEHICLE,203281698,11/24/2020,1100 FULTON INDUSTRIAL BLVD NW,114,Bankhead/Bolton,H,33.787527,-84.507799
LARCENY-FROM VEHICLE,203281723,11/24/2020,500 10TH ST NE,502,,E,33.782228,-84.369258
AUTO THEFT,203291202,11/24/2020,294 GA-154,507,Castleberry Hill,M,33.746657,-84.402299
AUTO THEFT,203291214,11/24/2020,999 GREENWOOD AVE NE,601,Virginia Highland,F,33.776339,-84.354595
AGG ASSAULT,203291222,11/24/2020,1600 FOREST LAKES AVE SE,611,The Villages at East Lake,O,33.743293,-84.312523
LARCENY-FROM VEHICLE,203291234,11/24/2020,3520 NANCY CREEK RD NW,201,Paces,A,33.851142,-84.441594
AUTO THEFT,203291251,11/24/2020,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.812534,-84.365788
LARCENY-FROM VEHICLE,203291275,11/24/2020,280 ELIZABETH ST NE,602,Inman Park,N,33.762093,-84.358311
AUTO THEFT,203291281,11/24/2020,372 MORELAND AVE NE,602,Inman Park,N,33.764644,-84.349522
LARCENY-FROM VEHICLE,203291284,11/24/2020,1713 N ROCK SPRINGS RD NE,613,Morningside/Lenox Park,F,33.801314,-84.363385
AUTO THEFT,203291285,11/24/2020,671 UNIVERSITY AVE SW,301,Adair Park,V,33.722497,-84.4096
LARCENY-FROM VEHICLE,203291286,11/24/2020,1080 W PEACHTREE ST NW,503,Midtown,E,33.784687,-84.388245
LARCENY-FROM VEHICLE,203291331,11/24/2020,834 INMAN VILLAGE PARKWAY NORTHEAST,602,Inman Park,N,33.760207,-84.360928
AGG ASSAULT,203291350,11/24/2020,470 BOLTON RD NW,114,Old Gordon,H,33.766434,-84.51001
LARCENY-FROM VEHICLE,203291394,11/24/2020,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.777601,-84.40791
AGG ASSAULT,203291445,11/24/2020,2500 CENTER ST NW,113,Carey Park,G,33.790663,-84.472584
LARCENY-FROM VEHICLE,203291454,11/24/2020,2893 PEACHTREE RD NE,206,Garden Hills,B,33.833791,-84.382622
BURGLARY,203291516,11/24/2020,584 LOVEJOY ST NW,504,Downtown,M,33.767647,-84.393265
AUTO THEFT,203291540,11/24/2020,4279 ROSWELL RD NE,209,North Buckhead,B,33.871114,-84.379049
AGG ASSAULT,203291545,11/24/2020,236 FORSYTH ST SW,512,Downtown,M,33.748126,-84.396705
LARCENY-FROM VEHICLE,203291554,11/24/2020,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.776877,-84.408214
ROBBERY,203291590,11/24/2020,2 JOSEPH E. LOWERY BLVD NW,105,Washington Park,K,33.754908,-84.417718
LARCENY-FROM VEHICLE,203291610,11/24/2020,338 EAST PACES FERRY RD NE,206,Buckhead Village,B,33.839355,-84.376289
LARCENY-FROM VEHICLE,203291634,11/24/2020,2809 PEACHTREE RD NE,206,Buckhead Village,B,33.839546,-84.379667
ROBBERY,203291635,11/24/2020,1359 MECASLIN ST NW,207,Atlantic Station,E,33.78913,-84.400053
LARCENY-NON VEHICLE,203291639,11/24/2020,919 GREENWOOD AVE NE,601,Virginia Highland,F,33.776355,-84.357197
LARCENY-FROM VEHICLE,203291667,11/24/2020,609 VIRGINIA AVE NE,601,Virginia Highland,F,33.781059,-84.365865
LARCENY-FROM VEHICLE,203291720,11/24/2020,60 ANDREW YOUNG INTERNATIONAL BLVD NE,509,Downtown,M,33.759878,-84.385791
LARCENY-FROM VEHICLE,203291725,11/24/2020,828 RALPH MCGILL BLVD NE,602,Poncey-Highland,N,33.768165,-84.360528
LARCENY-FROM VEHICLE,203291731,11/24/2020,3850 ROSWELL RD NE,209,East Chastain Park,B,33.860256,-84.381998
AUTO THEFT,203291738,11/24/2020,761 SIDNEY MARCUS BLVD NE,211,Lindbergh/Morosgo,B,33.825196,-84.362224
LARCENY-FROM VEHICLE,203291761,11/24/2020,1878 PIEDMONT AVE NE,212,Piedmont Heights,F,33.807972,-84.366342
AGG ASSAULT,203281772,11/24/2020,62 HARWELL RD NW,111,,I,33.753405,-84.49311
AUTO THEFT,203290030,11/24/2020,1040 HUFF RD NW,103,Blandtown,D,33.789028,-84.421602
HOMICIDE,203290036,11/24/2020,120 HARWELL RD NW,111,,I,33.755676,-84.49356
AGG ASSAULT,203290057,11/24/2020,340 GLENN ST SW,303,Mechanicsville,V,33.73796,-84.399004
ROBBERY,203290096,11/24/2020,1940 FISHER RD SE,607,Custer/McDonough/Guice,W,33.71371,-84.359358
LARCENY-FROM VEHICLE,203290105,11/24/2020,55 HILLIARD ST SE,604,Sweet Auburn,M,33.752843,-84.376958
AGG ASSAULT,203290108,11/24/2020,18 WILLIAM HOLMES BORDERS SENIOR DR NE,604,Sweet Auburn,M,33.754799,-84.375737
LARCENY-FROM VEHICLE,203290174,11/24/2020,3157 PEACHTREE RD NE,208,Buckhead Village,B,33.840514,-84.376837
AGG ASSAULT,203290190,11/24/2020,741 PRYOR ST SW,303,Mechanicsville,V,33.734444,-84.394878
LARCENY-FROM VEHICLE,203290261,11/24/2020,2400 PARKLAND DR NE,211,Lindbergh/Morosgo,B,33.81993,-84.36587
LARCENY-NON VEHICLE,203290262,11/24/2020,2111 CAMPBELLTON RD SW,409,Adams Park,R,33.706554,-84.457937
BURGLARY,203290331,11/24/2020,2420 BROWNS MILL RD SE,310,Lakewood,Z,33.68908,-84.373824
LARCENY-NON VEHICLE,203290352,11/24/2020,3566 PIEDMONT RD NE,208,Buckhead Forest,B,33.851598,-84.380612
LARCENY-NON VEHICLE,203290358,11/24/2020,3315 ROSWELL RD NE,208,Buckhead Forest,B,33.845573,-84.379905
LARCENY-FROM VEHICLE,203290381,11/24/2020,215 NORTH AVENUE NE,603,Old Fourth Ward,M,33.770584,-84.380571
LARCENY-FROM VEHICLE,203290414,11/24/2020,220 BILL KENNEDY WAY SE,606,Reynoldstown,N,33.745302,-84.356724
LARCENY-NON VEHICLE,203290428,11/24/2020,3265 FERNCLIFF LN,210,Pine Hills,B,33.843059,-84.357543
LARCENY-FROM VEHICLE,203290462,11/24/2020,150 WALKER ST SW,507,Castleberry Hill,M,33.750386,-84.400481
LARCENY-NON VEHICLE,203290469,11/24/2020,875 CONLEY RD SE,313,South River Gardens,Z,33.649041,-84.360733
LARCENY-FROM VEHICLE,203290474,11/24/2020,21 LARKIN PL SW,507,Castleberry Hill,M,33.747344,-84.404422
AUTO THEFT,203290490,11/24/2020,3550 FAIRBURN RD SW,414,Ben Hill,P,33.664003,-84.52327
BURGLARY,203290504,11/24/2020,1927 MEADOR AVE SE,307,Lakewood Heights,Y,33.701579,-84.380468
LARCENY-FROM VEHICLE,203290510,11/24/2020,464 BOULEVARD NE,603,Old Fourth Ward,M,33.76698,-84.372214
BURGLARY,203290520,11/24/2020,396 PIEDMONT AVE NE,509,Downtown,M,33.764576,-84.382377
LARCENY-FROM VEHICLE,203290527,11/24/2020,1557 MELROSE DR SW,306,Sylvan Hills,X,33.712368,-84.422621
AUTO THEFT,203290546,11/24/2020,401 TOWNSEND PL NW,201,Paces,A,33.863348,-84.450266
LARCENY-FROM VEHICLE,203290548,11/24/2020,3275 LENOX RD NE,210,Pine Hills,B,33.844513,-84.357737
LARCENY-NON VEHICLE,203290549,11/24/2020,1139 EDEN AVE SE,607,Ormewood Park,W,33.729898,-84.350446
ROBBERY,203290594,11/24/2020,1000 PARK AVE NE,208,North Buckhead,B,33.855121,-84.361961
LARCENY-NON VEHICLE,203290639,11/24/2020,75 BOULEVARD NE,604,Old Fourth Ward,M,33.756475,-84.371811
LARCENY-NON VEHICLE,203290701,11/24/2020,936 OAK ST SW,401,West End,T,33.739237,-84.419051
LARCENY-NON VEHICLE,203290759,11/24/2020,774 LIBERTY COMMONS DR NW,102,Vine City,L,33.755787,-84.414579
LARCENY-FROM VEHICLE,203290824,11/24/2020,95 8TH ST NW,503,Midtown,E,33.779837,-84.390194
LARCENY-NON VEHICLE,203290877,11/24/2020,2356 BROWNS MILL RD SE,310,Browns Mill Park,Z,33.688354,-84.374291
LARCENY-FROM VEHICLE,203290882,11/24/2020,280 ELIZABETH ST NE,602,Inman Park,N,33.762093,-84.358311
LARCENY-FROM VEHICLE,203290989,11/24/2020,1386 CHATTAHOOCHEE AVE NW,103,Hills Park,D,33.80329,-84.432731
AUTO THEFT,203291014,11/24/2020,601 GLENWOOD PL SE,607,Ormewood Park,W,33.73786,-84.35517
AUTO THEFT,203291025,11/24/2020,125 LOGAN ST SE,605,Capitol Gateway,V,33.744428,-84.382336
LARCENY-FROM VEHICLE,203291075,11/24/2020,660 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.764276,-84.36635
LARCENY-FROM VEHICLE,203291086,11/24/2020,1542 WOODLAND CIR SE,607,Custer/McDonough/Guice,W,33.712511,-84.350939
LARCENY-FROM VEHICLE,203291111,11/24/2020,447 EDGEWOOD AVE SE,604,Sweet Auburn,M,33.754158,-84.372872
LARCENY-NON VEHICLE,203291187,11/24/2020,2716 M.L.K. JR DR SW,405,Harland Terrace,I,33.75394,-84.4761
AGG ASSAULT,203280775,11/24/2020,211 CLEVELAND AVE SE,310,Rosedale Heights,Z,33.680532,-84.379018
LARCENY-NON VEHICLE,203281417,11/24/2020,675 PONCE DE LEON AVE NE,603,Old Fourth Ward,M,33.772597,-84.365541
LARCENY-FROM VEHICLE,203281542,11/24/2020,JUNIPER ST NE & PEACHTREE PL NE,503,Midtown,E,33.780669,-84.382589
LARCENY-NON VEHICLE,203251023,11/24/2020,3393 PEACHTREE RD,210,Lenox,B,33.846726,-84.36242
AUTO THEFT,203281550,11/23/2020,1025 NORTH HIGHLAND AVENUE NORTHEAST,601,Virginia Highland,F,33.78264,-84.354
AGG ASSAULT,203281579,11/23/2020,631 JOHN WESLEY DOBBS AVE NE,604,Old Fourth Ward,M,33.75931,-84.366589
LARCENY-FROM VEHICLE,203281587,11/23/2020,1099 HEMPHILL AVE NW,501,Home Park,E,33.78491,-84.405817
LARCENY-NON VEHICLE,203281597,11/23/2020,2302 MARIETTA BLVD NW,103,Bolton,D,33.818156,-84.451347
LARCENY-FROM VEHICLE,203281605,11/23/2020,915 W PEACHTREE ST NW,503,Midtown,E,33.779742,-84.386812
LARCENY-FROM VEHICLE,203281615,11/23/2020,931 MONROE DR NE,614,Midtown,E,33.779424,-84.367651
HOMICIDE,203281460,11/23/2020,8 LETHEA ST SE,307,South Atlanta,Y,33.710104,-84.380581
LARCENY-FROM VEHICLE,203281473,11/23/2020,94 PEACHTREE CENTER AVE NE,510,Downtown,M,33.757124,-84.386103
AUTO THEFT,203281501,11/23/2020,3465 NORTHSIDE PKWY NW,202,Randall Mill,A,33.849581,-84.429637
AGG ASSAULT,203281518,11/23/2020,875 METROPOLITAN PKWY SW,301,Adair Park,V,33.731048,-84.4083
BURGLARY,203281539,11/23/2020,2419 BAYWOOD DR SE,310,Browns Mill Park,Z,33.688438,-84.38831
LARCENY-FROM VEHICLE,203271817,11/23/2020,806 MURPHY AVE SW,301,Adair Park,V,33.733347,-84.412515
LARCENY-FROM VEHICLE,203271826,11/23/2020,229 GRANT ST SE,605,Oakland,W,33.748953,-84.37706
BURGLARY,203270920,11/23/2020,521 HANK AARON DR SW,304,Summerhill,V,33.737783,-84.389964
LARCENY-FROM VEHICLE,203280784,11/23/2020,570 SPRING ST NW,509,Downtown,M,33.770291,-84.389439
LARCENY-FROM VEHICLE,203280797,11/23/2020,3788 ROSWELL RD NE,209,East Chastain Park,B,33.857881,-84.381828
AUTO THEFT,203280803,11/23/2020,602 MCAFEE ST NW,504,Downtown,M,33.768357,-84.39476
LARCENY-NON VEHICLE,203280813,11/23/2020,3391 PEACHTREE RD NE,210,Lenox,B,33.848428,-84.365196
LARCENY-NON VEHICLE,203280830,11/23/2020,3342 PEACHTREE RD NE,208,North Buckhead,B,33.847463,-84.369824
AUTO THEFT,203280844,11/23/2020,639 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82337,-84.366938
LARCENY-FROM VEHICLE,203280879,11/23/2020,1240 W PEACHTREE ST NW,502,Midtown,E,33.788675,-84.388598
LARCENY-NON VEHICLE,203280881,11/23/2020,407 SUNSET AVE NW,506,English Avenue,L,33.765702,-84.409613
LARCENY-FROM VEHICLE,203280910,11/23/2020,257 PEYTON PL SW,405,Harland Terrace,I,33.751309,-84.476878
LARCENY-NON VEHICLE,203280926,11/23/2020,875 HANK AARON DR SW,304,Peoplestown,V,33.73068,-84.388166
LARCENY-FROM VEHICLE,203280946,11/23/2020,4352 WHITEWATER CREEK RD NW,202,Whitewater Creek,A,33.87429,-84.438313
LARCENY-NON VEHICLE,203280952,11/23/2020,91 MORRIS BROWN DR SW,104,Just Us,T,33.75223,-84.424426
AGG ASSAULT,203280978,11/23/2020,1001 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77285,-84.354334
LARCENY-FROM VEHICLE,203280980,11/23/2020,3628 CASTLEGATE DR NW,202,Kingswood,A,33.854429,-84.414271
LARCENY-FROM VEHICLE,203280984,11/23/2020,1737 ELLSWORTH INDUSTRIAL BLVD NW,204,Underwood Hills,D,33.802237,-84.426375
LARCENY-FROM VEHICLE,203281049,11/23/2020,980 HOWELL MILL RD NW,501,Home Park,E,33.781369,-84.411384
LARCENY-FROM VEHICLE,203281084,11/23/2020,562 ORME CIR NE,601,Virginia Highland,F,33.787296,-84.368806
LARCENY-NON VEHICLE,203281085,11/23/2020,1275 CAROLINE ST NE,609,Edgewood,O,33.757264,-84.346543
LARCENY-NON VEHICLE,203281098,11/23/2020,285 CENTENNIAL OLYMPIC PARK DR NW,508,Downtown,M,33.762565,-84.391488
LARCENY-FROM VEHICLE,203281099,11/23/2020,1678 HOWELL MILL RD NW,204,Underwood Hills,D,33.799913,-84.416254
LARCENY-FROM VEHICLE,203281105,11/23/2020,3465 NORTHSIDE PKWY NW,202,Randall Mill,A,33.849581,-84.429637
LARCENY-FROM VEHICLE,203281116,11/23/2020,2275 MARIETTA BLVD NW,201,,C,33.819507,-84.450659
LARCENY-NON VEHICLE,203281117,11/23/2020,2429 BOLTON RD NW,103,Bolton,D,33.820709,-84.455116
LARCENY-NON VEHICLE,203281135,11/23/2020,346 ARCHER WAY NW,106,Bankhead,K,33.764226,-84.423998
LARCENY-FROM VEHICLE,203281137,11/23/2020,20 10TH ST NW,503,Midtown,E,33.781235,-84.388084
LARCENY-NON VEHICLE,203281157,11/23/2020,1356 DONALD LEE HOLLOWELL PKWY NW,106,Bankhead,K,33.771313,-84.431772
AGG ASSAULT,203281168,11/23/2020,42 JOHNSON RD NW,110,Grove Park,J,33.782379,-84.45437
LARCENY-FROM VEHICLE,203281220,11/23/2020,299 NORTH HIGHLAND AVENUE NORTHEAST,602,Inman Park,N,33.762317,-84.358759
LARCENY-NON VEHICLE,203281272,11/23/2020,3393 PEACHTREE RD NE,210,Lenox,B,33.848151,-84.363438
LARCENY-FROM VEHICLE,203281273,11/23/2020,111 BOULEVARD SE,605,Grant Park,W,33.750886,-84.370799
AUTO THEFT,203281296,11/23/2020,828 HIGHLAND LN NE,601,Virginia Highland,F,33.774158,-84.360654
AGG ASSAULT,203281305,11/23/2020,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.700806,-84.46636
LARCENY-FROM VEHICLE,203281310,11/23/2020,1099 HEMPHILL AVE NW,501,Home Park,E,33.78491,-84.405817
AUTO THEFT,203271861,11/23/2020,3500 LENOX RD NE,208,North Buckhead,B,33.852031,-84.366281
LARCENY-NON VEHICLE,203271881,11/23/2020,255 EAST PACES FERRY RD NE,206,Buckhead Village,B,33.838838,-84.378993
LARCENY-FROM VEHICLE,203271908,11/23/2020,648 MCDONOUGH BLVD SE,607,Benteen Park,W,33.713325,-84.366338
AGG ASSAULT,203280116,11/23/2020,787 ELOISE CT SE,605,Grant Park,W,33.734497,-84.361562
LARCENY-FROM VEHICLE,203280184,11/23/2020,311 COURTLAND ST NE,509,Downtown,M,33.763024,-84.38365
AUTO THEFT,203280217,11/23/2020,2020 BOLTON RD NW,103,Riverside,D,33.811479,-84.475772
LARCENY-FROM VEHICLE,203280246,11/23/2020,599 WHITEHALL ST SW,303,Pittsburgh,V,33.742748,-84.407664
LARCENY-NON VEHICLE,203280284,11/23/2020,610 SPRING ST NW,509,Downtown,M,33.770904,-84.389521
AGG ASSAULT,203280293,11/23/2020,2900 LANDRUM DR SW,409,Southwest,R,33.706058,-84.483646
LARCENY-FROM VEHICLE,203280312,11/23/2020,755 CATHERINE ST SW,301,Adair Park,V,33.726095,-84.412363
LARCENY-FROM VEHICLE,203280326,11/23/2020,1770 RICHMOND CIR SE,307,Lakewood Heights,Y,33.705963,-84.37441
AUTO THEFT,203280330,11/23/2020,1266 WEST PACES FERRY RD NW,202,West Paces Ferry/Northside,A,33.848167,-84.428726
BURGLARY,203280338,11/23/2020,365 PEACHTREE HILLS AVE NE,211,Peachtree Hills,B,33.820336,-84.373015
AGG ASSAULT,203280342,11/23/2020,630 CAMERON MADISON ALEXANDER BLVD NW,506,English Avenue,L,33.768062,-84.407931
AUTO THEFT,203280343,11/23/2020,1260 COLLIER RD NW,204,Underwood Hills,D,33.811582,-84.429165
LARCENY-FROM VEHICLE,203280357,11/23/2020,95 8TH ST NW,503,Midtown,E,33.779837,-84.390194
AUTO THEFT,203280386,11/23/2020,3445 STRATFORD RD NE,208,North Buckhead,B,33.850912,-84.367471
LARCENY-NON VEHICLE,203280400,11/23/2020,950 WEST MARIETTA ST NW,106,Knight Park/Howell Station,K,33.782501,-84.418908
BURGLARY,203280438,11/23/2020,2047 NORTH AVENUE NW,107,Grove Park,J,33.769096,-84.455026
AUTO THEFT,203280481,11/23/2020,3085 EARLY ST NW,206,South Tuxedo Park,B,33.839901,-84.380179
LARCENY-FROM VEHICLE,203280482,11/23/2020,250 FULTON ST SW,303,Mechanicsville,V,33.741572,-84.396366
LARCENY-NON VEHICLE,203280485,11/23/2020,1040 HAMPTON ST NW,501,Home Park,E,33.783162,-84.407069
ROBBERY,203280546,11/23/2020,2080 CAMPBELLTON RD SW,410,Campbellton Road,R,33.705236,-84.45685
LARCENY-FROM VEHICLE,203280562,11/23/2020,116 HUNNICUTT ST NW,504,Downtown,M,33.76671,-84.391207
BURGLARY,203280587,11/23/2020,630 MEMORIAL DR SE,606,Cabbagetown,N,33.746923,-84.366876
LARCENY-FROM VEHICLE,203280591,11/23/2020,975 W PEACHTREE ST NW,503,Midtown,E,33.781236,-84.387356
